KURUMLAR LİSTE,,,,,,,,,
IL_ADI,ILCE_ADI,KURUM_ADI,ADRES,TEL,FAX,MERNIS_ADRES_KODU,WEB_ADRES,KURUM_TUR_ADI,KURUM_TUR_KODU
İSTANBUL,ATAŞEHİR,ATA İLKOKULU,KÜÇÜKBAKKALKÖY MAH. DİLEK SABANCI CAD. İLKOKUL İNŞAATI BLOK NO: 7 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 572 61 00,(216) 572 61 01,3296213824,atasehiratailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ATAŞEHİR İLKOKULU,ATATÜRK MAH. MERİÇ CAD. NO: 8 ATAŞEHİR / İSTANBUL,,,5015057838,atasehirilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,CELAL YARDIMCI İLKOKULU,KAYIŞDAĞI MAH. YAVUZBEY SK. YARDIMCI ILKOGRETIM OKULU BLOK NO: 1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 471 71 06,(216) 471 71 37,3239812245,celalyardimciio.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,CEMİLE BESLER İLKOKULU,ATATÜRK MAH. FAZILPAŞA SK. CEMILE BESLER ILKOGRTIM BLOK NO: 7/2 ATAŞEHİR / İSTANBUL,(216) 455 58 40,(216) 580 80 84,1395474834,cemilebeslerilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ÇAĞRIBEY İLKOKULU,YENİ ÇAMLICA MAH. ÇAĞRIBEY SK. NO: 8A İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 313 24 33,(216) 364 48 99,2753503347,cagrbeyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,FETİH BORSA İSTANBUL İLKOKULU,FETIH MAH. KAFKAS SK. NO: 4 ATAŞEHİR / İSTANBUL,(216) 470 79 72,(216) 470 79 71,1949530677,fetihborsaistanbulilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,HALİL ATAMAVCI İLKOKULU,HALİL ATAMAVCI İLKOKULU İÇERENKÖY MAH. PROF. DR. ALİ NİHAT TARLAN CAD. YEŞİL BELDE SOK. NO:4-6 ATAŞEHİR / İSTANBUL,(216) 572 43 62,(216) 573 40 56,3526609734,halilatamavci.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,İÇERENKÖY HASANLEYLİ İLKOKULU,İÇERENKÖY MAH. ADEM SK. HASAN LEYLI İLKOKULU BLOK NO: 60 ATAŞEHİR / İSTANBUL,(216) 573 28 29,(216) 573 28 30,2160120420,icerenkoyhasanleyli.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,KADRİYE FAİK KOPARAN İLKOKULU,ATATÜRK MAH. 2. CAD. KADRİYE FAİK KOPARAN İLKÖĞRETİM OKULU BLOK NO: 4/1 ATAŞEHİR / İSTANBUL,(216) 548 10 00,(216) 548 10 00,1140499896,kfkio.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,KANUNİ SULTAN SÜLEYMAN İLKOKULU,İÇERENKÖY MAH. KAYNAK SK. KANUNI SULTAN SÜLEYMAN ILKOKULU BLOK NO: 9 ATAŞEHİR / İSTANBUL,(216) 575 14 08,(216) 575 14 08,1727834853,kanunisultansuleymanilkokulu.meb.k12.tr,İlkokul,225
